Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),4.0,4.0,,,3.8,4.2,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),18.4,18.4,,,17.7,19.1,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),25.1,25.1,,,24.5,25.7,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),20.2,20.2,,,19.6,20.8,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),25.1,25.1,,,24.6,25.6,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),16.9,16.9,,,16.3,17.6,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.1,23.1,,,22.2,24.0,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),13.0,13.0,,,12.5,13.4,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),0.9,0.9,,,0.8,1.0,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),4.2,4.2,,,4.0,4.4,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.1,19.1,,,18.3,19.8,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),25.8,25.8,,,25.0,26.5,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),20.8,20.8,,,20.1,21.5,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2006,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),25.7,25.7,,,25.0,26.3,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.7,15.7,,,15.2,16.2,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),21.4,21.4,,,20.7,22.2,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),12.0,12.0,,,11.6,12.4,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),0.9,0.9,,,0.8,0.9,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.9,3.9,,,3.7,4.1,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),17.4,17.4,,,16.8,18.1,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),24.3,24.3,,,23.7,24.9,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.4,19.4,,,18.8,20.0,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2007,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),24.5,24.5,,,24.0,25.0,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.6,15.6,,,15.1,16.1,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),21.1,21.1,,,20.4,21.8,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),12.1,12.1,,,11.7,12.5,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),0.9,0.9,,,0.9,1.0,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.9,3.9,,,3.7,4.1,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),16.9,16.9,,,16.3,17.5,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.7,23.7,,,23.1,24.2,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.1,19.1,,,18.5,19.6,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2008,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),24.0,24.0,,,23.5,24.5,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.5,15.5,,,15.0,16.0,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),20.7,20.7,,,20.0,21.4,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),12.0,12.0,,,11.6,12.4,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),1.0,1.0,,,0.9,1.1,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.9,3.9,,,3.7,4.1,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),16.5,16.5,,,15.9,17.1,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.8,23.8,,,23.2,24.3,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),18.9,18.9,,,18.4,19.4,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2009,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),24.3,24.3,,,23.8,24.8,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),14.6,14.6,,,14.2,15.1,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.2,19.2,,,18.7,19.9,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),11.5,11.5,,,11.2,11.8,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),1.0,1.0,,,0.9,1.1,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.9,3.9,,,3.7,4.1,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.5,15.5,,,15.1,16.0,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),22.3,22.3,,,21.9,22.9,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),17.8,17.8,,,17.4,18.3,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2010,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.0,23.0,,,22.6,23.5,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),14.7,14.7,,,14.3,15.1,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.3,19.3,,,18.7,19.8,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),11.6,11.6,,,11.3,12.0,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),1.1,1.1,,,1.0,1.2,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.8,3.8,,,3.6,4.0,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.4,15.4,,,14.9,15.8,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),22.1,22.1,,,21.6,22.6,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),17.8,17.8,,,17.4,18.2,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2011,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),22.8,22.8,,,22.4,23.2,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),14.7,14.7,,,14.5,14.9,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.4,19.4,,,19.1,19.7,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),11.5,11.5,,,11.4,11.7,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),1.0,1.0,,,1.0,1.1,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.8,3.8,,,3.7,3.9,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.5,15.5,,,15.3,15.8,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),22.4,22.4,,,22.1,22.6,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),18.0,18.0,,,17.7,18.2,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2012,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.1,23.1,,,22.9,23.4,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),14.7,14.7,,,14.5,14.9,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.4,19.4,,,19.1,19.7,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),11.4,11.4,,,11.3,11.6,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),1.0,1.0,,,1.0,1.1,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.8,3.8,,,3.7,3.9,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2013,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),15.5,15.5,,,15.3,15.8,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
